shot_id,clip_id,shot_index,tc_in,tc_out,duration_s,verbatim_text,description,shot_deeplink,subject_role,action,food_item,food_role,setting,camera_framing,camera_angle,camera_movement,motion_speed,lighting,vfx,audio_sfx,dialogue,mood,liftable,shot_risk
APX-S-011-5,APX-C-011,5,20.0,25.0,5.0,"Families gather around glowing lanterns and greet each other warmly. Children laughing, warm hugs, peaceful festive atmosphere.",Families gather under the lanterns to greet one another. Children are laughing.,,family,none,,none,desert camp,medium,eye,static,real-time,lantern glow,none,,,reverent,yes,
APX-S-011-6,APX-C-011,6,25.0,30.0,5.0,"People walk toward a desert mosque with soft golden light surrounding the structure. Wide cinematic angle, emotional spiritual energy.",People walk toward a desert mosque in the low golden light.,,family,praying,,none,desert mosque,extreme-wide,eye,static,real-time,golden-hour,none,,,reverent,yes,
APX-S-011-7,APX-C-011,7,30.0,35.0,5.0,"Hundreds of lanterns illuminate the desert night sky. Children playing under warm lights, magical Eid ambiance.",Hundreds of lanterns rise over the desert. Children play beneath them.,,family,none,,none,desert night,wide,low,static,real-time,lantern glow,particles,,,awe,yes,
APX-S-011-8,APX-C-011,8,35.0,38.0,3.0,Fireworks explode across the open desert sky while families watch together around a bonfire.,Fireworks break across the desert sky above a bonfire and the families watching.,,family,none,,none,desert night,extreme-wide,low,static,real-time,fireworks,fire; particles,,,awe,yes,
APX-S-011-9,APX-C-011,9,38.0,40.0,2.0,Golden crescent moon appears above the dunes with elegant glowing Arabic calligraphy. Text fades in: Eid Mubarak.,A golden crescent above the dunes. The greeting appears.,,none,none,,none,dunes,wide,low,static,real-time,moonlight,none,,,reverent,yes,on-screen-text
APX-S-012-1,APX-C-012,1,0.0,3.0,3.0,"The lens pushes slowly in through the steam rising off a bowl of hot dry noodles, colours intensely alive.",The camera pushes in through the steam of a bowl of hot dry noodles.,,none,none,hot dry noodles,hero,noodle stall,ecu,eye,push-in,real-time,warm,steam,,,appetising,yes,
APX-S-012-2,APX-C-012,2,3.0,6.0,3.0,"Instant match-cut, hard cut from the noodle steam to the vast misty expanse of the Yangtze River.",A hard match-cut carries the steam into the mist of the Yangtze.,,none,none,,none,Yangtze river,extreme-wide,eye,static,real-time,hazy,none,,,awe,yes,
APX-S-012-3,APX-C-012,3,6.0,9.0,3.0,"Dragon dance weaving nimbly through the old streets, movements continuous and natural, never stiff.",A dragon dance winds through the old streets.,,none,none,,none,old street,wide,eye,tracking,real-time,daylight,none,drums,,playful,yes,
APX-S-012-4,APX-C-012,4,9.0,12.0,3.0,"Yellow Crane Tower at dawn, Tyndall rays piercing the flying eaves; red walls and yellow tiles.",Dawn light falls in shafts through the eaves of the Yellow Crane Tower.,,none,none,,none,Yellow Crane Tower,wide,low,static,real-time,tyndall rays,none,,,reverent,yes,
APX-S-012-5,APX-C-012,5,12.0,15.0,3.0,"FPV racing-drone view, diving at speed from the smoky lanes of Liangdao Street and pulling up along the river surface, joining a 180-degree orbit around the main tower of the Yangtze bridge; night falls and the light show ignites along both banks, neon rippling in the water.","An FPV drone dives from a food alley, skims the river and pulls up around the bridge tower as the night light show ignites along both banks.",,none,none,,none,riverfront,extreme-wide,low,fpv; orbit,real-time,neon night,none,,,epic,yes,
APX-S-013-1,APX-C-013,1,0.0,3.0,3.0,"The lens pushes slowly in through the steam rising from a teahouse; delicate Cantonese dim sum, rich saturated colour.",The camera pushes in through the steam of a teahouse and finds the dim sum.,,none,none,dim sum,hero,teahouse,ecu,eye,push-in,real-time,warm,steam,,,appetising,yes,
APX-S-013-2,APX-C-013,2,3.0,6.0,3.0,"Instant match-cut, hard cut to the flowing light and colour of Zhujiang New Town.",A hard cut carries the steam into the light of the new city.,,none,none,,none,Zhujiang New Town,extreme-wide,eye,static,real-time,neon,none,,,awe,yes,
APX-S-013-3,APX-C-013,3,6.0,9.0,3.0,"Lion dance leaping lightly through the old street, movements continuous and natural, never stiff.",A lion dance leaps through the old street.,,none,none,,none,old street,wide,eye,tracking,real-time,daylight,none,drums,,playful,yes,
APX-S-013-4,APX-C-013,4,9.0,12.0,3.0,"Chen Clan Ancestral Hall at dawn, fine woodcarving texture, Tyndall rays piercing the Manchurian windows.","Dawn through the Manchurian windows of the ancestral hall, catching the carved timber.",,none,none,,none,Chen Clan Hall,cu,eye,static,real-time,tyndall rays,none,,,reverent,yes,
APX-S-013-5,APX-C-013,5,12.0,15.0,3.0,"Ultra-fast FPV drone view, diving from the old-city lanes and pulling up along the ground, joining a 180-degree orbit around the summit of the Canton Tower; smooth, no shake.","An FPV drone dives through the old lanes, skims the ground and climbs into an orbit around the top of the Canton Tower.",,none,none,,none,Canton Tower,extreme-wide,low,fpv; orbit,real-time,neon night,none,,,epic,yes,
APX-S-014-1,APX-C-014,1,0.0,15.0,15.0,"Beautiful Japanese woman in her early twenties, long dark-brown wavy hair, natural make-up, cream floral summer dress, barefoot on a tropical beach, laying fresh ingredients on a table. Sea breeze moves her hair. Opens on a cinematic drone shot, moving into close-ups of the ingredients. She smiles and shows the black-and-gold sauce pouch to camera.","Golden hour on a tropical beach. She walks barefoot, laying out fresh ingredients on a table, and holds the sauce up to camera with a smile.",,guest,none,fresh ingredients; sauce,hero,tropical beach,wide,eye,drone; push-in,real-time,golden-hour,none,surf; breeze,Today I'm making the best beach BBQ with this special sauce!,appetising,yes,product-label fidelity
APX-S-014-2,APX-C-014,2,15.0,30.0,15.0,"Ultra-realistic cooking scene. She slowly pours a thick, glossy sweet soy sauce over raw chicken in a bowl. Macro photography of the sauce catching the light as it flows. She brushes it carefully onto the skewers. Red and green peppers, onion and chicken, vividly rendered.","She pours a thick, glossy sauce over the chicken and brushes it onto the skewers. Peppers and onion, bright against the board.",,guest,pouring,chicken; sauce; peppers,hero,beach table,ecu,eye,tracking,real-time,golden-hour,none,pour,This sweet-savoury smell really works up an appetite!,appetising,yes,liquid-sim
APX-S-014-3,APX-C-014,3,30.0,45.0,15.0,"Skewers sizzling over a beach grill. Flame, smoke, glossy glaze and meat juices in close-up. She turns the skewers, smiling, enjoying the cooking. Cinematic slow motion and firelight reflections.","The skewers sizzle over the grill — flame, smoke, glaze, running juices — and she turns them, smiling.",,guest,searing; flipping,chicken skewers,hero,beach grill,cu,eye,tracking,slow-mo,firelight; sunset,fire,sizzle,Wow — look at that colour! That looks so good!,appetising,yes,
APX-S-014-4,APX-C-014,4,45.0,60.0,15.0,"She sits in a beach chair holding the finished skewers and a white bowl, sea behind her, smiles and takes a bite. A happy reaction the moment she tastes it. Final product hero shot: the black-and-gold pouch centred on a wooden board, surrounded by freshly grilled skewers and vegetables.","She sits with the sea behind her and takes the first bite. Then the board: the sauce at its centre, skewers and vegetables around it.",,guest,biting,chicken skewers; sauce,hero,beach chair; product board,medium,eye,push-in,real-time,sunset,none,surf,Mmm! Perfect! This sauce is really delicious!,appetising,yes,product-label fidelity
APX-S-015-1,APX-C-015,1,0.0,2.0,2.0,"Medium shot, eye level, slow push-in. A young male barista stands behind the counter of a modern industrial-style café. Morning sunlight streams through large glass windows, creating soft volumetric light rays. Black turtleneck, grey apron, premium and calm atmosphere.","A barista stands behind the counter of a quiet industrial café, morning light coming through the windows in soft beams.",,barista,none,,none,modern café,medium,eye,push-in,real-time,volumetric morning,none,lo-fi; ambience,,calm,yes,
APX-S-015-2,APX-C-015,2,2.0,3.0,1.0,"Extreme macro, low angle, static. Bottomless portafilter extraction begins. Rich espresso flows down like molten lava, layered with thick golden crema.","Espresso begins to fall from a bottomless portafilter, dark as molten lava beneath thick golden crema.",,barista,pouring,espresso; crema,hero,café counter,ecu,low,static,real-time,practical,none,extraction,,appetising,yes,crema texture
APX-S-015-3,APX-C-015,3,3.0,4.0,1.0,"Close-up, side view, slight tracking. The steam wand froths milk inside a stainless steel pitcher. White steam surrounds the pitcher while the milk spins into a silky microfoam texture.","The steam wand drives the milk into a spinning silk, steam rolling off the pitcher.",,barista,frothing,milk,hero,café counter,cu,eye,tracking,real-time,practical,steam,steam hiss,,appetising,yes,liquid-sim
APX-S-015-4,APX-C-015,4,4.0,7.0,3.0,"Close-up, top-down angle, push-in. The barista begins pouring latte art. Smooth white milk flows precisely onto the espresso surface, gradually forming a galloping horse pattern. Warm amber highlights, ultra-detailed liquid texture.",Milk falls onto the espresso and a galloping horse takes shape on the surface of the cup.,,barista,pouring; plating,latte,hero,café counter,cu,overhead,push-in,real-time,warm amber,none,pouring,,appetising,yes,the horse pattern forming is the make-or-break beat
APX-S-015-5,APX-C-015,5,7.0,10.0,3.0,"Close-up, eye level, rack focus. The finished latte is gently placed on a wooden counter. The camera first focuses on the perfect horse latte art, then slowly shifts focus to the barista's satisfied smile in the background.","The cup is set down on the wood. Focus rests on the horse, then drifts back to the barista's quiet satisfaction.",,barista,serving,latte,hero,café counter,cu,eye,rack-focus,real-time,warm amber,none,ceramic clack,,calm,yes,
APX-S-016-1,APX-C-016,1,0.0,3.0,3.0,"Dramatic low-angle hero shot of the cat standing confidently on a kitchen counter wearing a tiny white chef hat and black apron, warm cinematic lighting, steam rising everywhere, realistic fur physics, shallow depth of field.","A fluffy orange cat stands on the counter in a tiny chef's hat and apron, steam rising around it, entirely in command.",,animal-character,none,,none,Michelin kitchen,medium,low,push-in,real-time,warm cinematic,steam,opera,,comedic,yes,fur + wardrobe
APX-S-016-2,APX-C-016,2,3.0,7.0,4.0,"Quick fast-paced cuts show the cat aggressively chopping vegetables with precise paw movements, flipping pasta pans in slow motion.","Fast cuts: the cat chopping vegetables with precise paws, flipping pasta pans in slow motion.",,animal-character,chopping; flipping,vegetables; pasta,hero,Michelin kitchen,cu,eye,handheld,mixed,warm cinematic,fire; steam,sizzle,,comedic,partial,animal dexterity — hardest ask in the set
APX-S-016-3,APX-C-016,3,7.0,10.0,3.0,"Sprinkling salt dramatically like a celebrity chef, and yelling silently at panicking human chefs in the background. The kitchen is alive with fire bursts, flying ingredients, sizzling steak closeups. Meme-style subtitles appear.",It salts a dish like a celebrity chef and silently screams at the panicking humans behind it while the kitchen burns and sizzles.,,animal-character,searing,steak,featured,Michelin kitchen,medium,eye,handheld,real-time,fire glow,fire; sparks,bass impacts,WHERE IS THE PARMESAN?!,comedic,partial,on-screen text
APX-S-016-4,APX-C-016,4,10.0,12.0,2.0,"Mid-scene the cat pauses dramatically, stares directly into the camera with glowing cinematic eyes while opera music intensifies. Cinematic push-in during eye contact.",The cat stops. It looks directly into the camera. The opera swells.,,animal-character,none,,none,Michelin kitchen,cu,eye,push-in,real-time,warm rim,none,opera peak,,epic,yes,
APX-S-016-5,APX-C-016,5,12.0,15.0,3.0,Final scene shows the cat perfectly plating gourmet pasta in slow motion while customers stand up emotionally clapping and crying tears of joy.,"It plates a perfect pasta in slow motion. In the dining room, people stand, applaud, and weep.",,animal-character,plating,pasta,hero,Michelin dining room,medium,eye,push-in,slow-mo,warm cinematic,steam,applause,TABLE 4 IS CRYING AGAIN,comedic,yes,
APX-S-017-1,APX-C-017,1,0.0,3.0,3.0,"A chubby, cheerful chef in a bright white hat is proudly walking through a sunny backyard holding a giant, steaming pepperoni pizza. The camera starts close on the pizza, then dynamically cranes up and backward to reveal a mischievous raccoon peeking out from a nearby bush, its eyes locked on the prize.","A cheerful chef carries an enormous steaming pizza across a sunny backyard. The camera lifts to reveal a raccoon in the bushes, watching.",,chef,none,pizza,hero,sunny backyard,medium,eye,crane; pull-back,real-time,sunny,steam,music,,playful,yes,
APX-S-017-2,APX-C-017,2,3.0,6.0,3.0,"The raccoon suddenly leaps onto the picnic table. The camera uses a fast, low-angle tracking shot, rushing forward as the raccoon dramatically points a tiny paw at the chef, challenging him. The chef gasps in comical shock, his eyes bulging out.","The raccoon leaps onto the picnic table and levels a tiny paw at the chef, who gasps.",,animal-character,none,pizza,hero,picnic table,medium,low,tracking,real-time,sunny,none,sting,,comedic,yes,
APX-S-017-3,APX-C-017,3,6.0,9.0,3.0,"A dynamic, low-angle whip-pan captures the chef lunging forward to protect the pizza. He comically tackles thin air as the nimble raccoon flips over his head in slow motion. The camera smoothly orbits 180 degrees around the airborne raccoon, capturing its cheeky grin.","The chef lunges and tackles thin air. The raccoon flips over his head, grinning, as the camera orbits it in the air.",,chef; animal-character,leaping,pizza,hero,backyard,medium,low,whip-pan; orbit,slow-mo,sunny,none,whoosh,,comedic,yes,
APX-S-017-4,APX-C-017,4,9.0,12.0,3.0,"The raccoon lands perfectly on the opposite side of the table and grabs one end of the pizza box. The camera rapidly tilts up and down, capturing a dramatic tug-of-war. The chef pulls hard, his face turning red, while the raccoon pulls back with equal ferocity, sparks comically flying between them.","Both take an end of the pizza box. A furious tug-of-war, sparks flying between them.",,chef; animal-character,tug-of-war,pizza,hero,picnic table,medium,eye,tilt,real-time,sunny,sparks,strain,,comedic,yes,
APX-S-017-5,APX-C-017,5,12.0,15.0,3.0,"The box snaps open, and the pizza flies into the air. The camera dramatically plunges downward from the sky, following the pizza as it falls perfectly onto the head of a sleeping bulldog nearby. The camera quickly zooms in on the chef and the raccoon, who both freeze in terror as the bulldog opens one angry, glowing eye.","The box snaps. The pizza sails up, and lands squarely on a sleeping bulldog. Chef and raccoon freeze. The bulldog opens one eye.",,chef; animal-character,none,pizza,hero,backyard,wide,high,crane; push-in,real-time,sunny,none,thud; silence,,comedic,yes,
